date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,8.1,4.6,10.6,,,,9.4,,1013.5,
2023-01-02 00:00:00,7.5,4.2,12.3,,,,7.4,,1020.1,
2023-01-03 00:00:00,10.2,7.9,13.6,,,,5.7,,1014.9,
2023-01-04 00:00:00,13,10.2,17.1,,,,10.4,,1010.8,
2023-01-05 00:00:00,10.9,7.9,13.7,,,,11.5,,1014.1,
2023-01-06 00:00:00,5.9,3.1,7.9,,,,8.2,,1016.6,
2023-01-07 00:00:00,3.4,0.6,7.5,0,,,9.8,,1021.6,
2023-01-08 00:00:00,0.8,-2.3,2.8,0.2,,,8.1,,1025.1,
2023-01-09 00:00:00,3.2,1.1,7.5,,,,9.4,,1014.8,
2023-01-10 00:00:00,2.7,-0.1,6.4,0.7,,,11.1,,1017.8,
2023-01-11 00:00:00,0.9,-1.6,3.6,0,,,13.7,,1023.8,
2023-01-12 00:00:00,6.4,0.4,10.8,,,,14.7,,1017.2,
2023-01-13 00:00:00,8.7,2.6,12.9,,,,8,,1002.9,
2023-01-14 00:00:00,1.1,-0.2,2.6,,,,10.4,,1010.4,
2023-01-15 00:00:00,0.7,-1.8,4.8,,,,9.9,,1015.8,
2023-01-16 00:00:00,1.3,-2.4,7.6,0.2,,,6.3,,1012.5,
2023-01-17 00:00:00,2.5,-2,6.6,2.5,,,7.5,,1006.6,
2023-01-18 00:00:00,6.4,3.6,9.7,,,,8,,1009.9,
2023-01-19 00:00:00,4.3,2.4,6.9,,,,12.2,,1012.3,
2023-01-20 00:00:00,5.7,3.3,8.3,0,,,10.4,,1006.3,
2023-01-21 00:00:00,2.5,-1.1,5.7,0.1,,,9.2,,1020.6,
2023-01-22 00:00:00,2.2,-2.9,6,,,,11.9,,1018.9,
2023-01-23 00:00:00,2.8,0.8,4.5,,,,9,,1004.8,
2023-01-24 00:00:00,1.9,-1.2,7.6,0,,,11.2,,1021,
2023-01-25 00:00:00,3.1,-2,11,,,,13.7,,1019.3,
2023-01-26 00:00:00,6.8,2,11.5,,,,23.4,,1004.2,
2023-01-27 00:00:00,1.8,-1.3,5.8,0.5,,,14.6,,1019.5,
2023-01-28 00:00:00,5.7,0.1,11.1,0.7,,,12.8,,1024.6,
2023-01-29 00:00:00,8.1,6.1,10.6,0,,,8.7,,1023.6,
2023-01-30 00:00:00,8.2,5,12.8,0,,,7.6,,1020.8,
2023-01-31 00:00:00,4,1.1,8.3,,,,10.1,,1022.1,
2023-02-01 00:00:00,1.3,-1.7,5,,,,12.7,,1024.6,
2023-02-02 00:00:00,1.8,-1.1,5,0.2,,,14.7,,1020.3,
2023-02-03 00:00:00,-3.2,-10,2.2,0.5,,,11.3,,1017.1,
2023-02-04 00:00:00,-8,-13.3,-2.8,0,,,12.8,,1034.6,
2023-02-05 00:00:00,3.5,-2.8,9.4,0,,,11.9,,1022.6,
2023-02-06 00:00:00,6.7,2.8,11.7,0.4,,,9,,1017.2,
2023-02-07 00:00:00,3.1,0.6,5.6,,,,12,,1025.7,
2023-02-08 00:00:00,7.8,3.3,13.3,,,,9,,1022.6,
2023-02-09 00:00:00,7.9,3.9,11.7,0,,,5.9,,1021.2,
2023-02-10 00:00:00,12.8,7.8,16,0,,,12,,1012.6,
2023-02-11 00:00:00,6,3.3,9.4,0,,,9.4,,1023.9,
2023-02-12 00:00:00,5.1,2.2,7.8,,,,9.5,,1018.2,
2023-02-13 00:00:00,9,5,13.9,,,,13.6,,1003.4,
2023-02-14 00:00:00,8.9,5.6,12.8,0,,,6.3,,1016.5,
2023-02-15 00:00:00,12.2,7.2,17.8,0.4,,,11.2,,1017.5,
2023-02-16 00:00:00,13.4,10.6,16.7,,,,7.8,,1014.9,
2023-02-17 00:00:00,9.8,1.1,15,,,,9.3,,1006.7,
2023-02-18 00:00:00,2.6,-1.7,7.2,0.2,,,11.7,,1026.2,
2023-02-19 00:00:00,5.6,2.8,9.4,0,,,11.3,,1024.1,
2023-02-20 00:00:00,10.3,7.2,16.1,0,,,10.9,,1007.4,
2023-02-21 00:00:00,6.1,3.3,10.6,,,,11.8,,1005.1,
2023-02-22 00:00:00,4.7,3.3,6.1,,,,9.3,,1018.4,
2023-02-23 00:00:00,4.8,3.9,6.1,,,,15.8,,1013.4,
2023-02-24 00:00:00,5.1,-1.7,8.3,0,,,8.4,,1023.3,
2023-02-25 00:00:00,-1.5,-3.9,0.6,,,,8.4,,1029.5,
2023-02-26 00:00:00,3.8,-0.6,11.1,1,,,13.3,,1013.5,
2023-02-27 00:00:00,3.9,1.7,6.7,,,,11.5,,1013.5,
2023-02-28 00:00:00,2.2,1,3.3,,,,16.3,,1008.2,
2023-03-01 00:00:00,4.6,2,6.7,2.1,,,12.8,,1019,
2023-03-02 00:00:00,6.9,3.5,11.7,,,,10.2,,1007.6,
2023-03-03 00:00:00,5,3.3,7.2,,,,13.1,,1015.6,
2023-03-04 00:00:00,6,4.4,8.3,,,,15.5,,1002.4,
2023-03-05 00:00:00,7.4,3.9,12.2,0.3,,,7.7,,1019.8,
2023-03-06 00:00:00,8.2,4.4,12.2,0,,,8.8,,1018.8,
2023-03-07 00:00:00,4.8,1.1,9.4,,,,8.3,,1011.3,
2023-03-08 00:00:00,4.4,0,9.4,0,,,7.9,,1020.5,
2023-03-09 00:00:00,6,1.7,12.2,0.5,,,8.7,,1021.7,
2023-03-10 00:00:00,5.2,3.3,7.2,,,,11.3,,1015,
2023-03-11 00:00:00,4.9,2.8,7.2,,,,11.5,,1008.3,
2023-03-12 00:00:00,4.8,1.7,8.3,0,,,9.5,,1016.7,
2023-03-13 00:00:00,4.9,3.3,6,14.6,,,22.5,,1012,
2023-03-14 00:00:00,2.1,1.4,2.8,9.4,,,39.1,,1000.9,
2023-03-15 00:00:00,2.9,0.6,6.4,0,,,37,,1008.9,
2023-03-16 00:00:00,5.3,-0.7,13,0,,,18.3,,1016.3,
2023-03-17 00:00:00,8.5,2.8,13,0.1,,,11.8,,1007,
2023-03-18 00:00:00,9.4,6.1,12.2,,,,10.8,,1006.3,
2023-03-19 00:00:00,2.9,-0.6,6.1,,,,13.8,,1016.7,
2023-03-20 00:00:00,5,0,10,0,,,12,,1025.2,
2023-03-21 00:00:00,9.9,3.3,16.7,0,,,12.5,,1027.7,
2023-03-22 00:00:00,10.3,7,15.6,0,,,7.9,,1027,
2023-03-23 00:00:00,11.1,8,13.9,,,,9.2,,1014,
2023-03-24 00:00:00,9.7,6.7,13.9,,,,6.4,,1014.3,
2023-03-25 00:00:00,6.7,6.1,8.3,,,,23.9,,1013.8,
2023-03-26 00:00:00,11.3,5.9,17.2,,,,15.1,,1012.1,
2023-03-27 00:00:00,10.3,7.2,14.4,,,,10.8,,1016.2,
2023-03-28 00:00:00,8.4,6.7,11.1,,,,7.7,,1018.2,
2023-03-29 00:00:00,8.1,5.6,12.8,0.2,,,10.8,,1020.1,
2023-03-30 00:00:00,5.2,0.6,9.4,,,,8.4,,1024.7,
2023-03-31 00:00:00,7.8,3.9,12.8,0,,,10.2,,1023.4,
2023-04-01 00:00:00,15.1,12.2,20,,,,12.3,,1000.9,
2023-04-02 00:00:00,9.1,5.6,12.2,,,,6.6,,1011.5,
2023-04-03 00:00:00,9.1,4.4,13.9,0,,,14.2,,1019.7,
2023-04-04 00:00:00,14.8,8.9,20.6,0,,,7.2,,1017,
2023-04-05 00:00:00,10.6,8.3,12.8,0.1,,,19.6,,1022.8,
2023-04-06 00:00:00,15.6,11.2,24.4,,,,9,,1020.2,
2023-04-07 00:00:00,12.2,7.8,14.4,0.7,,,6.9,,1026.9,
2023-04-08 00:00:00,7.2,3.9,11.1,0,,,10.2,,1032.1,
2023-04-09 00:00:00,7.9,4.4,12.8,0,,,12.6,,1032.8,
2023-04-10 00:00:00,11,3.4,17.8,0,,,9.5,,1030.2,
2023-04-11 00:00:00,15.9,8.9,22,0,,,15.5,,1020.1,
2023-04-12 00:00:00,21,17.2,28.3,0,,,15.2,,1011,
2023-04-13 00:00:00,21.8,13.5,28.9,0,,,15,,1011.1,
2023-04-14 00:00:00,21.5,14.3,28.8,0,,,17.1,,1011.5,
2023-04-15 00:00:00,16.6,14.8,18.4,9.2,,,13.9,,1012.4,
2023-04-16 00:00:00,16.5,13,20.6,0,,,6.9,,1010.4,
2023-04-17 00:00:00,14.3,12,18.9,,,,15.9,,1003,
2023-04-18 00:00:00,11.3,8.7,14,0.1,,,26.1,,1007.4,
2023-04-19 00:00:00,10.7,4.7,17.1,0,,,17.4,,1016.8,
2023-04-20 00:00:00,11.5,8.9,16,0,,,13.1,,1022.5,
2023-04-21 00:00:00,13.9,8.2,20,0,,,12.5,,1018.6,
2023-04-22 00:00:00,14.7,11.1,20,,,,17.9,,1014.1,
2023-04-23 00:00:00,15,12.5,19.4,25.1,,,8.8,,1011.7,
2023-04-24 00:00:00,12.1,7.8,16.7,0,,,6.7,,1017.4,
2023-04-25 00:00:00,12.1,8.9,15,0,,,6.2,,1021.3,
2023-04-26 00:00:00,12,10,14.4,0.2,,,11.3,,1023.6,
2023-04-27 00:00:00,11.8,10.6,13.9,2.4,,,7,,1023.2,
2023-04-28 00:00:00,11,9.4,12.8,6,,,19.5,,1021.1,
2023-04-29 00:00:00,10.9,8.9,12.2,32,,,24.3,,1012.5,
2023-04-30 00:00:00,13.2,11.3,16,41.3,,,18.7,,998.9,
2023-05-01 00:00:00,13.2,10,16.1,1.4,,,19.5,,992.9,
2023-05-02 00:00:00,11.3,8.9,13.9,3,,,17.1,,996.4,
2023-05-03 00:00:00,11,8.9,14.4,,,,11.6,,999.7,
2023-05-04 00:00:00,10.7,9.4,12.8,,,,10.2,,1010.9,
2023-05-05 00:00:00,13,10.6,17.2,,,,8.8,,1022,
2023-05-06 00:00:00,15.8,10.6,22.8,0,,,7,,1023.1,
2023-05-07 00:00:00,18.6,12.8,25,,,,7.7,,1015.6,
2023-05-08 00:00:00,20.2,15,26.1,,,,6.5,,1008.6,
2023-05-09 00:00:00,16.5,13.3,19.4,0,,,12.5,,1014.6,
2023-05-10 00:00:00,16.2,11.7,22.2,0,,,8.9,,1020.6,
2023-05-11 00:00:00,19.8,13.3,26.1,0,,,9.7,,1019.2,
2023-05-12 00:00:00,23,15.6,28.9,0,,,9.6,,1017.6,
2023-05-13 00:00:00,22.9,20,26.1,0,,,6,,1016,
2023-05-14 00:00:00,19.7,16.1,24.4,0,,,12.1,,1021.4,
2023-05-15 00:00:00,18.1,13.3,22.8,0,,,13,,1021.9,
2023-05-16 00:00:00,20.2,13.9,26,,,,16.2,,1007.3,
2023-05-17 00:00:00,16.9,12.8,20.6,0,,,10.3,,1008,
2023-05-18 00:00:00,12.5,9.4,15.6,,,,13.3,,1025.8,
2023-05-19 00:00:00,15.5,12.2,19.4,0,,,12.6,,1027.1,
2023-05-20 00:00:00,15.8,14.1,17.3,,,,7.1,,1017.5,
2023-05-21 00:00:00,18.1,13.3,21.7,0,,,5.5,,1014.3,
2023-05-22 00:00:00,18.3,15,23.3,0,,,10.2,,1021.5,
2023-05-23 00:00:00,15.9,13.9,20,0,,,12.8,,1026.7,
2023-05-24 00:00:00,17.3,13.3,24.4,,,,8.9,,1018.4,
2023-05-25 00:00:00,16,11.1,21.1,,,,13,,1020.2,
2023-05-26 00:00:00,18.2,13.9,23.9,0,,,8.2,,1024.6,
2023-05-27 00:00:00,19.4,15.6,25,,,,8,,1025.9,
2023-05-28 00:00:00,19.5,15,24.4,,,,7.3,,1020.7,
2023-05-29 00:00:00,19.8,16.1,25,,,,14.2,,1017.2,
2023-05-30 00:00:00,16.8,13.3,20.6,1,,,15,,1022.9,
2023-05-31 00:00:00,17.5,12.8,22.8,,,,10.1,,1022.7,
